id	prec1	prec2	prec3
M6-Y-1.0-100k	  2.4	  3.2	  2.5
M6-Y-5.0-60k	  8.4	 10.3	  8.5
M6-Y-5.0-80k	  6.5	  8.0	  6.5
M6-Y-5.0-100k	  5.4	  6.7	  5.5
M6-Y-10.0-60k	 14.4	 17.3	 14.6
M6-Y-10.0-80k	 11.9	 14.3	 12.1
M6-Y-10.0-100k	 10.3	 12.4	 10.5
M6-J-1.0-60k	  8.1	 21.7	  8.6
M6-J-1.0-80k	  5.1	 13.4	  5.4
M6-J-1.0-100k	  3.6	  9.5	  3.9
M6-J-5.0-60k	 13.0	 34.9	 13.8
M6-J-5.0-80k	 10.0	 26.6	 10.6
M6-J-5.0-100k	  8.3	 22.3	  8.8
M6-J-10.0-60k	 23.8	 63.1	 25.2
M6-J-10.0-80k	 19.7	 52.3	 20.9
M6-J-10.0-100k	 17.2	 45.6	 18.2
M6-H-1.0-60k	  6.2	 12.0	  6.4
M6-H-1.0-80k	  4.1	  8.0	  4.3
M6-H-1.0-100k	  3.1	  6.1	  3.2
M6-H-5.0-60k	  9.5	 18.3	  9.8
M6-H-5.0-80k	  7.3	 14.1	  7.6
M6-H-5.0-100k	  6.2	 11.9	  6.4
M6-H-10.0-60k	 17.5	 34.6	 18.1
M6-H-10.0-80k	 14.5	 28.4	 15.0
M6-H-10.0-100k	 12.6	 24.8	 13.1
M6-K-1.0-60k	  7.6	 25.5	  8.1
M6-K-1.0-80k	  5.0	 16.9	  5.4
M6-K-1.0-100k	  3.8	 12.8	  4.1
M6-K-5.0-60k	 11.9	 38.7	 12.7
M6-K-5.0-80k	  9.2	 29.9	  9.8
M6-K-5.0-100k	  7.7	 25.2	  8.2
M6-K-10.0-60k	 22.7	 70.2	 24.2
M6-K-10.0-80k	 18.8	 58.1	 20.0
M6-K-10.0-100k	 16.4	 50.8	 17.5
M9-Z-1.0-60k	  3.4	  7.1	  3.5
M9-Z-1.0-80k	  2.0	  4.3	  2.1
M9-Z-1.0-100k	  1.4	  3.0	  1.5
M9-Z-5.0-60k	  5.9	 12.1	  6.1
M9-Z-5.0-80k	  4.4	  9.2	  4.6
M9-Z-5.0-100k	  3.7	  7.6	  3.8
M9-Z-10.0-60k	 12.2	 24.8	 12.7
M9-Z-10.0-80k	 10.0	 20.2	 10.4
M9-Z-10.0-100k	  8.6	 17.5	  9.0
M9-Y-1.0-60k	  4.4	  5.8	  4.5
M9-Y-1.0-80k	  2.7	  3.7	  2.8
M9-Y-1.0-100k	  1.9	  2.6	  1.9
M9-Y-5.0-60k	  7.0	  8.8	  7.1
M9-Y-5.0-80k	  5.4	  6.8	  5.4
M9-Y-5.0-100k	  4.5	  5.7	  4.5
M9-Y-10.0-60k	 11.9	 14.4	 12.0
M9-Y-10.0-80k	  9.8	 12.0	 10.0
M9-Y-10.0-100k	  8.5	 10.4	  8.6
M9-J-1.0-60k	  5.9	 16.0	  6.3
M9-J-1.0-80k	  3.7	  9.7	  3.9
M9-J-1.0-100k	  2.6	  6.8	  2.7
M9-J-5.0-60k	  9.6	 26.2	 10.2
M9-J-5.0-80k	  7.3	 19.9	  7.8
M9-J-5.0-100k	  6.1	 16.6	  6.5
M9-J-10.0-60k	 17.8	 46.8	 18.8
M9-J-10.0-80k	 14.7	 38.8	 15.6
M9-J-10.0-100k	 12.8	 33.8	 13.6
M9-H-1.0-60k	  4.9	  9.6	  5.0
M9-H-1.0-80k	  3.2	  6.3	  3.3
M9-H-1.0-100k	  2.4	  4.7	  2.5
M9-H-5.0-60k	  7.5	 14.9	  7.8
M9-H-5.0-80k	  5.8	 11.5	  6.0
M9-H-5.0-100k	  4.9	  9.6	  5.0
M9-H-10.0-60k	 14.0	 28.7	 14.5
M9-H-10.0-80k	 11.5	 23.6	 12.0
M9-H-10.0-100k	 10.1	 20.6	 10.4
M9-K-1.0-60k	  5.8	 19.0	  6.2
M9-K-1.0-80k	  3.8	 12.4	  4.0
M9-K-1.0-100k	  2.8	  9.3	  3.0
M9-K-5.0-60k	  9.1	 29.4	  9.7
M9-K-5.0-80k	  7.0	 22.6	  7.4
M9-K-5.0-100k	  5.8	 19.0	  6.2
M9-K-10.0-60k	 17.1	 53.7	 18.3
M9-K-10.0-80k	 14.2	 44.4	 15.1
M9-K-10.0-100k	 12.4	 38.8	 13.2
