temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
6500,4.5,0.0,0.0,Z,20k,5.0,3.0,0,949,51.7,78.6,53.3
6500,4.5,0.0,0.0,Z,20k,10.0,3.0,0,806,60.9,91.9,62.8
6500,4.5,0.0,0.0,Z,20k,20.0,3.0,0,528,93.1,137.3,96.0
6500,4.5,0.0,0.0,J,20k,1.0,3.0,0,717,82.0,255.3,86.6
6500,4.5,0.0,0.0,J,20k,5.0,3.0,0,676,87.1,272.3,91.9
6500,4.5,0.0,0.0,J,20k,10.0,3.0,0,572,102.9,327.0,108.6
6500,4.5,0.0,0.0,J,20k,20.0,3.0,0,366,161.4,554.8,170.1
6500,4.5,0.0,0.0,H,20k,1.0,3.0,0,742,91.4,159.7,94.6
6500,4.5,0.0,0.0,H,20k,5.0,3.0,0,698,97.1,170.2,100.6
6500,4.5,0.0,0.0,H,20k,10.0,3.0,0,591,114.8,203.3,119.0
6500,4.5,0.0,0.0,H,20k,20.0,3.0,0,381,178.6,329.8,185.3
6500,4.5,0.0,0.0,K,20k,1.0,3.0,0,382,288.2,866.0,299.6
6500,4.5,0.0,0.0,K,20k,5.0,3.0,0,360,305.8,915.4,318.0
6500,4.5,0.0,0.0,K,20k,10.0,3.0,0,305,360.9,1065.9,375.6
6500,4.5,0.0,0.0,K,20k,20.0,3.0,0,195,564.3,1578.4,589.3
6500,4.5,0.0,0.0,Y,20k,1.0,3.0,0,860,69.8,92.2,71.0
6500,4.5,0.0,0.0,Y,20k,5.0,3.0,0,810,74.2,98.1,75.4
6500,4.5,0.0,0.0,Y,20k,10.0,3.0,0,684,87.8,116.8,89.3
6500,4.5,0.0,0.0,Y,20k,20.0,3.0,0,433,139.0,187.2,141.3
6500,4.5,0.0,0.0,Z,60k,1.0,3.0,0,2580,11.0,16.9,11.3
6500,4.5,0.0,0.0,Z,60k,5.0,3.0,0,2051,13.8,21.2,14.2
6500,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1296,21.8,33.5,22.5
6500,4.5,0.0,0.0,Z,60k,20.0,3.0,0,635,44.7,66.6,46.1
6500,4.5,0.0,0.0,J,60k,1.0,3.0,0,1732,19.6,58.3,20.8
6500,4.5,0.0,0.0,J,60k,5.0,3.0,0,1410,24.1,72.2,25.5
6500,4.5,0.0,0.0,J,60k,10.0,3.0,0,922,36.9,112.6,38.9
6500,4.5,0.0,0.0,J,60k,20.0,3.0,0,445,76.5,260.0,80.7
6500,4.5,0.0,0.0,H,60k,1.0,3.0,0,1934,20.3,33.8,20.8
6500,4.5,0.0,0.0,H,60k,5.0,3.0,0,1521,25.7,43.5,26.5
6500,4.5,0.0,0.0,H,60k,10.0,3.0,0,958,40.8,70.3,42.2
6500,4.5,0.0,0.0,H,60k,20.0,3.0,0,465,84.4,152.3,87.4
6500,4.5,0.0,0.0,K,60k,1.0,3.0,0,962,66.1,214.8,68.9
6500,4.5,0.0,0.0,K,60k,5.0,3.0,0,768,82.8,268.5,86.1
6500,4.5,0.0,0.0,K,60k,10.0,3.0,0,491,129.3,407.1,134.4
6500,4.5,0.0,0.0,K,60k,20.0,3.0,0,240,265.7,761.4,277.8
6500,4.5,0.0,0.0,Y,60k,1.0,3.0,0,2179,15.9,20.7,16.2
6500,4.5,0.0,0.0,Y,60k,5.0,3.0,0,1747,19.8,25.9,20.1
6500,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1110,31.2,40.9,31.7
6500,4.5,0.0,0.0,Y,60k,20.0,3.0,0,533,65.1,87.5,66.2
6500,4.5,0.0,0.0,Z,100k,1.0,3.0,0,3148,7.0,10.8,7.2
6500,4.5,0.0,0.0,Z,100k,5.0,3.0,0,2325,9.5,14.6,9.8
6500,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1371,16.0,24.6,16.5
6500,4.5,0.0,0.0,Z,100k,20.0,3.0,0,649,33.9,50.6,35.0
6500,4.5,0.0,0.0,J,100k,1.0,3.0,0,2064,12.8,37.4,13.6
6500,4.5,0.0,0.0,J,100k,5.0,3.0,0,1580,16.7,49.3,17.7
6500,4.5,0.0,0.0,J,100k,10.0,3.0,0,973,27.1,81.5,28.6
6500,4.5,0.0,0.0,J,100k,20.0,3.0,0,455,58.0,193.4,61.2
6500,4.5,0.0,0.0,H,100k,1.0,3.0,0,2390,12.8,20.9,13.1
6500,4.5,0.0,0.0,H,100k,5.0,3.0,0,1732,17.6,29.4,18.1
6500,4.5,0.0,0.0,H,100k,10.0,3.0,0,1015,29.9,51.3,30.9
6500,4.5,0.0,0.0,H,100k,20.0,3.0,0,476,63.9,115.0,66.2
