temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
3500,4.5,0.0,0.0,Z,80k,1.0,3.0,0,6305,5.2,8.8,5.4
3500,4.5,0.0,0.0,Z,80k,5.0,3.0,0,3333,10.0,16.4,10.3
3500,4.5,0.0,0.0,Z,80k,10.0,3.0,0,1653,20.3,32.4,20.9
3500,4.5,0.0,0.0,J,80k,1.0,3.0,0,2973,9.8,24.0,10.3
3500,4.5,0.0,0.0,J,80k,5.0,3.0,0,1695,17.3,45.4,18.3
3500,4.5,0.0,0.0,J,80k,10.0,3.0,0,893,33.0,96.4,35.1
3500,4.5,0.0,0.0,H,80k,1.0,3.0,0,5125,5.4,8.8,5.6
3500,4.5,0.0,0.0,H,80k,5.0,3.0,0,3369,8.3,13.3,8.5
3500,4.5,0.0,0.0,H,80k,10.0,3.0,0,1881,15.0,23.9,15.4
3500,4.5,0.0,0.0,K,80k,1.0,3.0,0,4495,9.0,32.7,9.6
3500,4.5,0.0,0.0,K,80k,5.0,3.0,0,2629,15.5,55.2,16.5
3500,4.5,0.0,0.0,K,80k,10.0,3.0,0,1328,30.9,104.6,33.0
3500,4.5,0.0,0.0,Y,80k,1.0,3.0,0,6564,5.2,6.2,5.2
3500,4.5,0.0,0.0,Y,80k,5.0,3.0,0,3288,10.4,12.3,10.5
3500,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1497,23.0,27.3,23.3
3500,4.5,0.0,0.0,Z,100k,1.0,3.0,0,7937,3.7,6.3,3.8
3500,4.5,0.0,0.0,Z,100k,5.0,3.0,0,3579,8.3,13.6,8.6
3500,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1701,17.6,28.2,18.2
3500,4.5,0.0,0.0,J,100k,1.0,3.0,0,3638,7.1,17.1,7.5
3500,4.5,0.0,0.0,J,100k,5.0,3.0,0,1808,14.5,37.8,15.3
3500,4.5,0.0,0.0,J,100k,10.0,3.0,0,915,28.8,83.7,30.6
3500,4.5,0.0,0.0,H,100k,1.0,3.0,0,5815,4.3,6.9,4.4
3500,4.5,0.0,0.0,H,100k,5.0,3.0,0,3556,7.1,11.3,7.2
3500,4.5,0.0,0.0,H,100k,10.0,3.0,0,1922,13.1,20.9,13.5
3500,4.5,0.0,0.0,K,100k,1.0,3.0,0,5289,6.8,24.8,7.3
3500,4.5,0.0,0.0,K,100k,5.0,3.0,0,2808,13.0,46.4,13.9
3500,4.5,0.0,0.0,K,100k,10.0,3.0,0,1362,27.0,91.3,28.8
3500,4.5,0.0,0.0,Y,100k,1.0,3.0,0,8336,3.6,4.3,3.7
3500,4.5,0.0,0.0,Y,100k,5.0,3.0,0,3554,8.6,10.2,8.7
3500,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1549,19.9,23.6,20.1
2800,4.5,0.0,0.0,Z,60k,1.0,3.0,0,11017,4.4,8.4,4.5
2800,4.5,0.0,0.0,Z,60k,5.0,3.0,0,6769,7.2,13.7,7.5
2800,4.5,0.0,0.0,Z,60k,10.0,3.0,0,3393,14.6,27.3,15.2
2800,4.5,0.0,0.0,J,60k,1.0,3.0,0,3704,8.8,23.2,9.3
2800,4.5,0.0,0.0,J,60k,5.0,3.0,0,2448,13.5,35.9,14.3
2800,4.5,0.0,0.0,J,60k,10.0,3.0,0,1382,24.3,63.8,25.7
