,Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond. 1,Cond. 2,Cond. 3,correct flag
2757,3500,4.5,-1.0,0.0,Y,100000,1.0,3.0,7838.0,4.0,4.7,4.0,0
2805,3500,4.5,-0.5,0.0,Z,100000,1.0,3.0,6065.0,4.9,8.1,5.1,0
2808,3500,4.5,-0.5,0.0,J,100000,1.0,3.0,3375.0,7.9,19.4,8.3,0
2811,3500,4.5,-0.5,0.0,H,100000,1.0,3.0,4643.0,5.5,9.5,5.7,0
2814,3500,4.5,-0.5,0.0,K,100000,1.0,3.0,4565.0,8.2,28.9,8.7,0
2817,3500,4.5,-0.5,0.0,Y,100000,1.0,3.0,8341.0,3.7,4.4,3.8,0
2865,3500,4.5,0.0,0.0,Z,100000,1.0,3.0,8497.0,3.6,6.2,3.7,0
2868,3500,4.5,0.0,0.0,J,100000,1.0,3.0,3862.0,6.9,16.8,7.3,0
2871,3500,4.5,0.0,0.0,H,100000,1.0,3.0,6028.0,4.2,7.2,4.4,0
2874,3500,4.5,0.0,0.0,K,100000,1.0,3.0,5526.0,6.7,24.4,7.2,0
2877,3500,4.5,0.0,0.0,Y,100000,1.0,3.0,8921.0,3.5,4.1,3.5,0
2925,3500,4.5,0.5,0.0,Z,100000,1.0,3.0,14154.0,2.3,4.2,2.4,0
2928,3500,4.5,0.5,0.0,J,100000,1.0,3.0,4723.0,5.7,13.6,5.9,0
2931,3500,4.5,0.5,0.0,H,100000,1.0,3.0,7902.0,3.2,5.4,3.3,0
2934,3500,4.5,0.5,0.0,K,100000,1.0,3.0,6666.0,5.6,20.7,5.9,0
2937,3500,4.5,0.5,0.0,Y,100000,1.0,3.0,10256.0,3.1,3.7,3.1,0
2985,3500,4.5,1.0,0.0,Z,100000,1.0,3.0,21822.0,1.7,3.3,1.7,0
2988,3500,4.5,1.0,0.0,J,100000,1.0,3.0,6407.0,4.2,9.9,4.4,0
2991,3500,4.5,1.0,0.0,H,100000,1.0,3.0,10637.0,2.3,3.9,2.4,0
2994,3500,4.5,1.0,0.0,K,100000,1.0,3.0,8395.0,4.4,16.3,4.7,0
2997,3500,4.5,1.0,0.0,Y,100000,1.0,3.0,12491.0,2.6,3.2,2.6,0
3945,2800,4.5,-1.0,0.0,Z,100000,1.0,3.0,14941.0,2.4,4.9,2.5,0
3948,2800,4.5,-1.0,0.0,J,100000,1.0,3.0,6949.0,3.8,9.6,4.0,0
3951,2800,4.5,-1.0,0.0,H,100000,1.0,3.0,3988.0,6.5,12.8,6.7,0
3954,2800,4.5,-1.0,0.0,K,100000,1.0,3.0,5364.0,7.0,22.4,7.5,0
3957,2800,4.5,-1.0,0.0,Y,100000,1.0,3.0,13801.0,2.6,3.4,2.6,0
4005,2800,4.5,-0.5,0.0,Z,100000,1.0,3.0,18557.0,2.0,3.9,2.1,0
4008,2800,4.5,-0.5,0.0,J,100000,1.0,3.0,6744.0,4.0,10.0,4.2,0
4011,2800,4.5,-0.5,0.0,H,100000,1.0,3.0,5879.0,4.4,8.9,4.5,0
4014,2800,4.5,-0.5,0.0,K,100000,1.0,3.0,7282.0,5.0,16.5,5.3,0
4017,2800,4.5,-0.5,0.0,Y,100000,1.0,3.0,13194.0,2.7,3.5,2.7,0
4065,2800,4.5,0.0,0.0,Z,100000,1.0,3.0,21680.0,1.8,3.6,1.9,0
4068,2800,4.5,0.0,0.0,J,100000,1.0,3.0,6662.0,4.0,10.3,4.2,0
4071,2800,4.5,0.0,0.0,H,100000,1.0,3.0,7664.0,3.5,6.8,3.6,0
4074,2800,4.5,0.0,0.0,K,100000,1.0,3.0,8753.0,4.2,13.6,4.4,0
4077,2800,4.5,0.0,0.0,Y,100000,1.0,3.0,12759.0,2.7,3.5,2.8,0
4125,2800,4.5,0.5,0.0,Z,100000,1.0,3.0,22682.0,1.9,3.9,1.9,0
4128,2800,4.5,0.5,0.0,J,100000,1.0,3.0,7036.0,3.8,9.8,4.0,0
4131,2800,4.5,0.5,0.0,H,100000,1.0,3.0,8957.0,3.0,5.8,3.1,0
4134,2800,4.5,0.5,0.0,K,100000,1.0,3.0,9577.0,3.9,12.3,4.1,0
4137,2800,4.5,0.5,0.0,Y,100000,1.0,3.0,12665.0,2.7,3.4,2.8,0
4185,2800,4.5,1.0,0.0,Z,100000,1.0,3.0,22268.0,2.0,4.7,2.1,0
4188,2800,4.5,1.0,0.0,J,100000,1.0,3.0,7820.0,3.5,8.7,3.6,0
4191,2800,4.5,1.0,0.0,H,100000,1.0,3.0,9903.0,2.8,5.3,2.9,0
4194,2800,4.5,1.0,0.0,K,100000,1.0,3.0,10055.0,3.8,11.7,4.0,0
4197,2800,4.5,1.0,0.0,Y,100000,1.0,3.0,13042.0,2.7,3.3,2.7,0
5145,2600,4.5,-1.0,0.0,Z,100000,1.0,3.0,21697.0,1.8,3.8,1.9,0
5148,2600,4.5,-1.0,0.0,J,100000,1.0,3.0,9261.0,2.9,7.1,3.0,0
5151,2600,4.5,-1.0,0.0,H,100000,1.0,3.0,4947.0,5.3,10.1,5.5,0
