,Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond. 1,Cond. 2,Cond. 3,correct flag
1368,3900,4.0,0.0,0.0,J,100000,1.0,3.0,4077.0,6.6,17.5,6.9,0
1371,3900,4.0,0.0,0.0,H,100000,1.0,3.0,8158.0,3.0,4.9,3.0,0
1374,3900,4.0,0.0,0.0,K,100000,1.0,3.0,6292.0,5.8,25.6,6.2,0
1377,3900,4.0,0.0,0.0,Y,100000,1.0,3.0,8280.0,3.7,4.5,3.8,0
1665,3900,4.5,0.0,0.0,Z,100000,1.0,3.0,6179.0,4.6,7.8,4.8,0
1668,3900,4.5,0.0,0.0,J,100000,1.0,3.0,3501.0,7.6,20.2,8.0,0
1671,3900,4.5,0.0,0.0,H,100000,1.0,3.0,6368.0,3.9,6.5,4.0,0
1674,3900,4.5,0.0,0.0,K,100000,1.0,3.0,5127.0,7.3,32.7,7.8,0
1677,3900,4.5,0.0,0.0,Y,100000,1.0,3.0,7534.0,4.1,4.8,4.1,0
1965,3900,5.0,0.0,0.0,Z,100000,1.0,3.0,5392.0,5.2,8.8,5.4,0
1968,3900,5.0,0.0,0.0,J,100000,1.0,3.0,3069.0,8.7,22.7,9.1,0
1971,3900,5.0,0.0,0.0,H,100000,1.0,3.0,4850.0,5.3,8.9,5.4,0
1974,3900,5.0,0.0,0.0,K,100000,1.0,3.0,4118.0,9.3,40.8,9.9,0
1977,3900,5.0,0.0,0.0,Y,100000,1.0,3.0,7028.0,4.3,5.1,4.4,0
2265,3900,5.5,0.0,0.0,Z,100000,1.0,3.0,4781.0,5.8,9.7,6.1,0
2268,3900,5.5,0.0,0.0,J,100000,1.0,3.0,2805.0,9.5,23.8,10.0,0
2271,3900,5.5,0.0,0.0,H,100000,1.0,3.0,3610.0,7.2,12.2,7.4,0
2274,3900,5.5,0.0,0.0,K,100000,1.0,3.0,3282.0,11.8,48.6,12.7,0
2277,3900,5.5,0.0,0.0,Y,100000,1.0,3.0,6870.0,4.4,5.2,4.5,0
2565,3500,4.0,0.0,0.0,Z,100000,1.0,3.0,9869.0,3.1,5.5,3.2,0
2568,3500,4.0,0.0,0.0,J,100000,1.0,3.0,4162.0,6.4,16.0,6.7,0
2571,3500,4.0,0.0,0.0,H,100000,1.0,3.0,7582.0,3.3,5.5,3.4,0
2574,3500,4.0,0.0,0.0,K,100000,1.0,3.0,6447.0,5.7,21.2,6.1,0
2577,3500,4.0,0.0,0.0,Y,100000,1.0,3.0,9204.0,3.4,4.1,3.5,0
2865,3500,4.5,0.0,0.0,Z,100000,1.0,3.0,8497.0,3.6,6.2,3.7,0
2868,3500,4.5,0.0,0.0,J,100000,1.0,3.0,3862.0,6.9,16.8,7.3,0
2871,3500,4.5,0.0,0.0,H,100000,1.0,3.0,6028.0,4.2,7.2,4.4,0
2874,3500,4.5,0.0,0.0,K,100000,1.0,3.0,5526.0,6.7,24.4,7.2,0
2877,3500,4.5,0.0,0.0,Y,100000,1.0,3.0,8921.0,3.5,4.1,3.5,0
3165,3500,5.0,0.0,0.0,Z,100000,1.0,3.0,7650.0,3.9,6.8,4.1,0
3168,3500,5.0,0.0,0.0,J,100000,1.0,3.0,3823.0,7.0,16.4,7.3,0
3171,3500,5.0,0.0,0.0,H,100000,1.0,3.0,4790.0,5.4,9.3,5.6,0
3174,3500,5.0,0.0,0.0,K,100000,1.0,3.0,4667.0,8.1,28.4,8.7,0
3177,3500,5.0,0.0,0.0,Y,100000,1.0,3.0,9178.0,3.4,4.0,3.4,0
3465,3500,5.5,0.0,0.0,Z,100000,1.0,3.0,7374.0,4.1,6.9,4.2,0
3468,3500,5.5,0.0,0.0,J,100000,1.0,3.0,4094.0,6.5,14.9,6.8,0
3471,3500,5.5,0.0,0.0,H,100000,1.0,3.0,3615.0,7.2,12.6,7.5,0
3474,3500,5.5,0.0,0.0,K,100000,1.0,3.0,3792.0,10.0,34.5,10.8,0
3477,3500,5.5,0.0,0.0,Y,100000,1.0,3.0,9789.0,3.2,3.8,3.2,0
3765,2800,4.0,0.0,0.0,Z,100000,1.0,3.0,21696.0,1.8,3.6,1.9,0
3768,2800,4.0,0.0,0.0,J,100000,1.0,3.0,6331.0,4.3,11.0,4.5,0
3771,2800,4.0,0.0,0.0,H,100000,1.0,3.0,8866.0,3.0,5.8,3.1,0
3774,2800,4.0,0.0,0.0,K,100000,1.0,3.0,9506.0,3.9,12.2,4.1,0
3777,2800,4.0,0.0,0.0,Y,100000,1.0,3.0,11985.0,2.9,3.6,2.9,0
4065,2800,4.5,0.0,0.0,Z,100000,1.0,3.0,21680.0,1.8,3.6,1.9,0
4068,2800,4.5,0.0,0.0,J,100000,1.0,3.0,6662.0,4.0,10.3,4.2,0
4071,2800,4.5,0.0,0.0,H,100000,1.0,3.0,7664.0,3.5,6.8,3.6,0
4074,2800,4.5,0.0,0.0,K,100000,1.0,3.0,8753.0,4.2,13.6,4.4,0
4077,2800,4.5,0.0,0.0,Y,100000,1.0,3.0,12759.0,2.7,3.5,2.8,0
4365,2800,5.0,0.0,0.0,Z,100000,1.0,3.0,21185.0,1.9,3.8,1.9,0
4368,2800,5.0,0.0,0.0,J,100000,1.0,3.0,7494.0,3.5,9.0,3.7,0
4371,2800,5.0,0.0,0.0,H,100000,1.0,3.0,6017.0,4.3,8.8,4.5,0
4374,2800,5.0,0.0,0.0,K,100000,1.0,3.0,7539.0,4.8,16.5,5.2,0
4377,2800,5.0,0.0,0.0,Y,100000,1.0,3.0,14070.0,2.5,3.3,2.6,0
4665,2800,5.5,0.0,0.0,Z,100000,1.0,3.0,20746.0,1.9,3.9,2.0,0
4668,2800,5.5,0.0,0.0,J,100000,1.0,3.0,8972.0,3.0,7.4,3.1,0
4671,2800,5.5,0.0,0.0,H,100000,1.0,3.0,4481.0,5.8,11.2,5.9,0
4674,2800,5.5,0.0,0.0,K,100000,1.0,3.0,6334.0,5.8,17.7,6.2,0
4677,2800,5.5,0.0,0.0,Y,100000,1.0,3.0,16281.0,2.2,3.1,2.3,0
4965,2600,4.0,0.0,0.0,Z,100000,1.0,3.0,28779.0,1.6,3.3,1.7,0
4968,2600,4.0,0.0,0.0,J,100000,1.0,3.0,8677.0,3.1,8.2,3.3,0
4971,2600,4.0,0.0,0.0,H,100000,1.0,3.0,10868.0,2.5,4.9,2.6,0
4974,2600,4.0,0.0,0.0,K,100000,1.0,3.0,11895.0,3.0,9.6,3.2,0
4977,2600,4.0,0.0,0.0,Y,100000,1.0,3.0,15465.0,2.3,2.9,2.4,0
